sku,print,velikost,zaloga
MBYADD-XS,AROUND THE WORLD,XS,1
MBYADD-S,AROUND THE WORLD,S,1
MBYADD-XXL,AROUND THE WORLD,XXL,3
MBYBAL-XXL,BALI,XXL,2
MBYCOK-S,CUBISM MOCK,S,2
MBYCOK-XXL,CUBISM MOCK,XXL,1
MBYDOF-XS,DAY OF THE DEAD,XS,1
MBYDOF-S,DAY OF THE DEAD,S,3
MBYDOF-XXL,DAY OF THE DEAD,XXL,0
MBYEXS-S,EXOTIC SEA,S,1
MBYHPE-XXL,HIPPIE,XXL,0
MBYISP-S,ISLAND OF PARADISE,S,0
MBYISP-M,ISLAND OF PARADISE,M,0
MBYISP-L,ISLAND OF PARADISE,L,0
MBYISP-XL,ISLAND OF PARADISE,XL,0
MBYJPE-XS,JAPANESE VIEW,XS,1
MBYJPE-S,JAPANESE VIEW,S,2
MBYJPE-XXL,JAPANESE VIEW,XXL,2
MBYKRK-XS,KRAKEN,XS,1
MBYKRK-S,KRAKEN,S,2
MBYKRK-XXL,KRAKEN,XXL,2
MBYLEA-S,LEONANA,S,2
MBYLEA-XXL,LEONANA,XXL,3
MBYLTK-S,LOTUS KOY,S,2
MBYLTK-M,LOTUS KOY,M,2
MBYLTK-L,LOTUS KOY,L,0
MBYLTK-XL,LOTUS KOY,XL,0
MBYMAD-S,MEX CARD,S,0
MBYMAD-M,MEX CARD,M,0
MBYMAD-L,MEX CARD,L,0
MBYMAD-XL,MEX CARD,XL,0
MBYMCQ-XXL,MEXICAN SQUARE,XXL,1
MBYMDG-M,MAYAN DRAGON,M,3
MBYMEX-XS,MEX,XS,1
MBYMEX-S,MEX,S,2
MBYMEX-XXL,MEX,XXL,4
MBYMPO-S,MOVIE POSTER,S,0
MBYMPO-M,MOVIE POSTER,M,0
MBYMPO-L,MOVIE POSTER,L,0
MBYMPO-XL,MOVIE POSTER,XL,0
MBYMYN-S,MAYAN HEAD,S,1
MBYMYN-M,MAYAN HEAD,M,2
MBYMYN-L,MAYAN HEAD,L,0
MBYMYN-XL,MAYAN HEAD,XL,0
MBYNSK-XXL,NEWSPAPER,XXL,3
MBYOAT-XXL,POP ART,XXL,3
MBYPOW-S,KAPOW,S,1
MBYPOW-XXL,KAPOW,XXL,0
MBYSDW-XXL,SKULLMOND WHITE,XXL,4
MBYSKO-S,SKULL BLOOM,S,2
MBYTDY-S,TIE & DYE,S,2
MBYTKL-S,TIGER SKULL,S,1
MBYTKL-XXL,TIGER SKULL,XXL,0
MCYBIT-XS,BEND IT,XS,0
MCYBIT-XXL,BEND IT,XXL,1
MCYHVH-XS,HAVANA HIGH,XS,0
MCYHVH-S,HAVANA HIGH,S,0
MCYHVH-XXL,HAVANA HIGH,XXL,2
MCYMEL-XS,MELT,XS,1
MCYMEL-S,MELT,S,1
MCYMEL-XXL,MELT,XXL,2
MCYSRD-S,SACRED SKULL,S,0
MCYSUG-XS,SUNFLOWER GREY,XS,1
MCYTEL-XS,MOTEL 69,XS,0
MCYTEL-XXL,MOTEL 69,XXL,1
MBYDTP-S,DYSTOPIA,S,0
MBYDTP-M,DYSTOPIA,M,5
MBYDTP-L,DYSTOPIA,L,2
MBYDTP-XL,DYSTOPIA,XL,1
MBYKBK-S,KABUKI,S,1
MBYKBK-M,KABUKI,M,1
MBYKBK-L,KABUKI,L,1
MBYKBK-XL,KABUKI,XL,0
MBYMXG-S,MEXICOLLAGE,S,0
MBYMXG-M,MEXICOLLAGE,M,0
MBYMXG-L,MEXICOLLAGE,L,0
MBYMXG-XL,MEXICOLLAGE,XL,2
MBYNKO-M,NEKO,M,1
MBYNKO-L,NEKO,L,0
MBYNKO-XL,NEKO,XL,3
MBYTVN-M,TROPICAL VISION,M,3
MBYTVN-L,TROPICAL VISION,L,0
MBYTVN-XL,TROPICAL VISION,XL,0
